[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ShowPageTrace Behavior [ RunTime:0.001648s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_end ] --END-- [ RunTime:0.001860s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ app_begin ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004328s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004643s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | SQL: SHOW COLUMNS FROM `indexmenu` [ RunTime:0.005530s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | SQL: SELECT * FROM `indexmenu` WHERE isdel=0 ORDER BY sort  [ RunTime:0.004514s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run LocationTemplate Behavior [ RunTime:0.006810s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --END-- [ RunTime:0.007010s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ParseTemplate Behavior [ RunTime:0.042497s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --END-- [ RunTime:0.042659s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ContentReplace Behavior [ RunTime:0.000988s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run TokenBuild Behavior [ RunTime:0.001087s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000921s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ShowRuntime Behavior [ RunTime:0.001930s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005167s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | SQL: SHOW COLUMNS FROM `news` [ RunTime:0.002680s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | SQL: SELECT `id`,`newtitle`,`count` FROM `news` ORDER BY count LIMIT 10   [ RunTime:0.001480s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run LocationTemplate Behavior [ RunTime:0.000898s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --END-- [ RunTime:-0.053071s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ParseTemplate Behavior [ RunTime:0.004558s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.011224s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ContentReplace Behavior [ RunTime:0.000102s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run TokenBuild Behavior [ RunTime:0.000077s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ShowRuntime Behavior [ RunTime:0.000121s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.010704s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run LocationTemplate Behavior [ RunTime:0.000859s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --END-- [ RunTime:-0.059311s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ParseTemplate Behavior [ RunTime:0.002406s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.017413s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ContentReplace Behavior [ RunTime:0.000097s ]
