[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_template ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001413s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.130445s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_parse ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ParseTemplate Behavior [ RunTime:0.043922s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.073168s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_filter ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ContentReplace Behavior [ RunTime:0.000146s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run TokenBuild Behavior [ RunTime:0.000067s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000022s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000171s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.100691s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_end ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.001529s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001595s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ route_check ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run CheckRoute Behavior [ RunTime:0.001961s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002078s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ app_begin ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001299s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001360s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | SQL: SHOW COLUMNS FROM `indexmenu` [ RunTime:0.003137s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | SQL: SELECT * FROM `indexmenu` WHERE isdel=0  [ RunTime:0.002013s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_template ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.002572s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.002662s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_parse ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | NOTIC: [8] Undefined index:  uname 04b74bac16018df793b2b10a9602b31e.php 第 16 行.
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.019823s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019911s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_filter ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ContentReplace Behavior [ RunTime:0.001438s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run TokenBuild Behavior [ RunTime:0.001089s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001221s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001216s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005200s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_template ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000955s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.025401s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_parse ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.003754s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.006485s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_filter ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ContentReplace Behavior [ RunTime:0.000095s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run TokenBuild Behavior [ RunTime:0.000069s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000115s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.005022s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_template ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001137s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.030855s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_parse ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.003449s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.012124s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_filter ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ContentReplace Behavior [ RunTime:0.000085s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run TokenBuild Behavior [ RunTime:0.000069s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000118s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.010367s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_template ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001056s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.036197s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_parse ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.004553s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.017429s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_filter ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ContentReplace Behavior [ RunTime:0.000093s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run TokenBuild Behavior [ RunTime:0.000070s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000194s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.016764s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_template ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001039s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.042768s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_parse ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.003895s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.023943s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_filter ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ContentReplace Behavior [ RunTime:0.000134s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run TokenBuild Behavior [ RunTime:0.000071s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000140s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.022622s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_end ] --START--
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.001167s ]
[ 2013-11-04T14:40:49+08:00 ] /login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001227s ]
[ 2013-11-04T14:40:49+08:00 ] /Login/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-11-04T14:40:49+08:00 ] /Login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002519s ]
[ 2013-11-04T14:40:49+08:00 ] /Login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002848s ]
[ 2013-11-04T14:40:49+08:00 ] /Login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-11-04T14:40:49+08:00 ] /Login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000756s ]
