[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000034s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000213s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.140674s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_template ] --START--
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001782s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.189553s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_parse ] --START--
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Run ParseTemplate Behavior [ RunTime:0.006915s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.152680s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_filter ] --START--
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Run ContentReplace Behavior [ RunTime:0.000159s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Run TokenBuild Behavior [ RunTime:0.000115s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000035s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000205s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.150747s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_template ] --START--
