[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000132s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.447960s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.007979s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:-0.483118s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.004801s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.462923s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ContentReplace Behavior [ RunTime:0.001755s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run TokenBuild Behavior [ RunTime:0.000084s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000022s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000170s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.462086s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_end ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ShowPageTrace Behavior [ RunTime:0.001652s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_end ] --END-- [ RunTime:0.001732s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ app_begin ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001390s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001505s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | SQL: SHOW COLUMNS FROM `indexmenu` [ RunTime:0.003113s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | SQL: SELECT * FROM `indexmenu` WHERE isdel=0 ORDER BY sort  [ RunTime:0.006351s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.003185s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:0.003281s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.021973s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022073s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ContentReplace Behavior [ RunTime:0.001705s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run TokenBuild Behavior [ RunTime:0.002431s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001080s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ShowRuntime Behavior [ RunTime:0.001238s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006726s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | SQL: SHOW COLUMNS FROM `news` [ RunTime:0.003079s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | SQL: SELECT `id`,`newtitle`,`count` FROM `news` ORDER BY count LIMIT 10   [ RunTime:0.013746s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.001339s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:-0.046553s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.010577s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.025904s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ContentReplace Behavior [ RunTime:0.000104s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run TokenBuild Behavior [ RunTime:0.000071s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000022s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000125s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.029872s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.001367s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:-0.059316s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.002512s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.038656s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ContentReplace Behavior [ RunTime:0.000086s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run TokenBuild Behavior [ RunTime:0.000070s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000022s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000120s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.034774s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | SQL: SELECT `id`,`newtitle`,`fstcreate` FROM `news` ORDER BY id LIMIT 10   [ RunTime:0.000477s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | SQL: SELECT `id`,`newtitle`,`fstcreate`,`count` FROM `news` ORDER BY count,id LIMIT 10   [ RunTime:0.007670s ]
