[ 2013-11-01T15:04:13+08:00 ] /admin/New/newlist | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000952s ]
[ 2013-11-01T15:04:13+08:00 ] /admin/New/newlist | INFO: Run ShowRuntime Behavior [ RunTime:0.001307s ]
[ 2013-11-01T15:04:13+08:00 ] /admin/New/newlist | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005043s ]
[ 2013-11-01T15:04:13+08:00 ] /admin/New/newlist | INFO: Tag[ view_end ] --START--
[ 2013-11-01T15:04:13+08:00 ] /admin/New/newlist | INFO: Run ShowPageTrace Behavior [ RunTime:0.001240s ]
[ 2013-11-01T15:04:13+08:00 ] /admin/New/newlist | INFO: Tag[ view_end ] --END-- [ RunTime:0.001305s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Tag[ route_check ] --START--
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Run CheckRoute Behavior [ RunTime:0.001620s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Tag[ route_check ] --END-- [ RunTime:0.001813s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Tag[ app_begin ] --START--
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001177s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001303s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | SQL: SHOW COLUMNS FROM `news` [ RunTime:0.004251s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | NOTIC: [8] Undefined variable: condition NewAction.class.php 第 156 行.
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | SQL: SELECT COUNT(*) AS tp_count FROM `news` join newtype on newtype.id=news.newtype LIMIT 1   [ RunTime:0.008725s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | NOTIC: [8] Undefined variable: condition NewAction.class.php 第 159 行.
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | NOTIC: [2] Invalid argument supplied for foreach() NewAction.class.php 第 159 行.
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | NOTIC: [8] Undefined variable: condition NewAction.class.php 第 165 行.
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | SQL: SELECT news.id,news.newtitle,news.author,news.newcontent,news.newremark,news.fstcreate,news.isdel,newtype.typename FROM `news` join newtype on newtype.id=news.newtype ORDER BY id desc  LIMIT 0,20   [ RunTime:0.001695s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Tag[ view_template ] --START--
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Run LocationTemplate Behavior [ RunTime:0.001195s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Tag[ view_template ] --END-- [ RunTime:0.001322s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Tag[ view_parse ] --START--
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | NOTIC: [8] Undefined index:  newstitle d4c97a7ec5b01ecd4ff718d42f493d90.php 第 12 行.
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | NOTIC: [8] Undefined index:  isdel d4c97a7ec5b01ecd4ff718d42f493d90.php 第 13 行.
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Run ParseTemplate Behavior [ RunTime:0.133217s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Tag[ view_parse ] --END-- [ RunTime:0.133386s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Tag[ view_filter ] --START--
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Run ContentReplace Behavior [ RunTime:0.000798s ]
