[ 2013-11-13T16:19:04+08:00 ] /admin/Index/verify/0.4654833374079317 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002862s ]
[ 2013-11-13T16:19:04+08:00 ] /admin/Index/verify/0.4654833374079317 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002998s ]
[ 2013-11-13T16:19:04+08:00 ] /admin/Index/verify/0.4654833374079317 | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
[ 2013-11-13T16:19:06+08:00 ] /admin/Index/checklogin | INFO: Tag[ route_check ] --START--
[ 2013-11-13T16:19:06+08:00 ] /admin/Index/checklogin | INFO: Run CheckRoute Behavior [ RunTime:0.003997s ]
[ 2013-11-13T16:19:06+08:00 ] /admin/Index/checklogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.004224s ]
[ 2013-11-13T16:19:06+08:00 ] /admin/Index/checklogin | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:19:06+08:00 ] /admin/Index/checklogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002469s ]
[ 2013-11-13T16:19:06+08:00 ] /admin/Index/checklogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002627s ]
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | SQL: SHOW COLUMNS FROM `admin` [ RunTime:0.004001s ]
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | SQL: SELECT * FROM `admin` WHERE ( `UserName` = 'lizhi' ) AND ( `IsAdmin` = 1 )  [ RunTime:0.007198s ]
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | SQL: SHOW COLUMNS FROM `visit_log` [ RunTime:0.003724s ]
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | SQL: INSERT INTO `visit_log` (`uid`,`ip_address`) VALUES ('65555','127.0.0.1') [ RunTime:0.001752s ]
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | INFO: Tag[ view_template ] --START--
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | INFO: Run LocationTemplate Behavior [ RunTime:0.005180s ]
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.005325s ]
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | INFO: Tag[ view_parse ] --START--
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | INFO: Run ParseTemplate Behavior [ RunTime:0.047062s ]
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.047226s ]
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | INFO: Tag[ view_filter ] --START--
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | INFO: Run ContentReplace Behavior [ RunTime:0.007252s ]
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | INFO: Run TokenBuild Behavior [ RunTime:0.007216s ]
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002618s ]
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | INFO: Run ShowRuntime Behavior [ RunTime:0.002657s ]
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.020863s ]
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | INFO: Tag[ view_end ] --START--
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.004086s ]
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/checklogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.004246s ]
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/main.html | INFO: Tag[ route_check ] --START--
[ 2013-11-13T16:19:07+08:00 ] /admin/Index/main.html | INFO: Run CheckRoute Behavior [ RunTime:0.005816s ]
